날짜,관광지명,관광객수
2009.04,박물관은살아있다,0
2009.04,산방산,137508
2009.04,서귀포도립해양공원,40201
2009.04,서귀포자연휴양림,3356
2009.04,서복전시관,0
2009.04,성산일출봉,172096
2009.04,소리섬박물관,0
2009.04,소인국테마파크,90957
2009.04,신영영화박물관,15000
2009.04,아프리카박물관,9864
2009.04,여미지식물원,97995
2009.04,이중섭미술관,4943
2009.04,익스트림 아일랜드,0
2009.04,일출랜드,100588
2009.04,정방폭포,45974
2009.04,제주민속촌박물관,69061
2009.04,제주조각공원,4058
2009.04,제주추사관,0
2009.04,중문주상절리대,186585
2009.04,천제연폭포,51618
2009.04,천지연폭포,176192
2009.04,카멜리아힐,0
2009.04,테디베어뮤지엄,42524
2009.04,퍼시픽랜드,54215
2009.04,아쿠아플라넷,0
2009.04,화락원,0
2009.05,(주)제주미니미니랜드,43831
2009.05,국립제주박물관,33922
2009.05,도립미술관,0
2009.05,만장굴관광지,49333
2009.05,목석원,7583
2009.05,민속자연사박물관,141607
2009.05,비자림,15250
2009.05,산굼부리,83470
2009.05,삼성혈,8171
2009.05,삼양선사유적지,8604
2009.05,생각하는 정원,19889
2009.05,절물자연휴양림,49620
2009.05,제주도립 김창열미술관,0
2009.05,제주돌문화공원,27052
2009.05,제주러브랜드,56491
2009.05,제주목관아지,13442
2009.05,제주별빛누리공원,0
2009.05,제주항일기념관,7944
2009.05,한라산국립공원,157279
2009.05,한림공원,133336
2009.05,항몽 유적지,16893
2009.05,해녀 박물관,19243
2009.05,감귤박물관,8368
2009.05,기당미술관,457
2009.05,마라해양도립공원,57115
2009.05,박물관은살아있다,0
2009.05,산방산,142155
2009.05,서귀포도립해양공원,41042
2009.05,서귀포자연휴양림,8114
2009.05,서복전시관,0
2009.05,성산일출봉,180346
2009.05,소리섬박물관,0
2009.05,소인국테마파크,82743
2009.05,신영영화박물관,16952
2009.05,아프리카박물관,9879
2009.05,여미지식물원,89728
2009.05,이중섭미술관,7076
2009.05,익스트림 아일랜드,0
2009.05,일출랜드,101337
2009.05,정방폭포,54140
2009.05,제주민속촌박물관,71259
2009.05,제주조각공원,4788
2009.05,제주추사관,0
2009.05,중문주상절리대,199774
2009.05,천제연폭포,55863
2009.05,천지연폭포,192394
2009.05,카멜리아힐,0
2009.05,테디베어뮤지엄,55825
2009.05,퍼시픽랜드,64458
2009.05,아쿠아플라넷,0
2009.05,화락원,0
2009.06,(주)제주미니미니랜드,25525
2009.06,국립제주박물관,5415
2009.06,도립미술관,0
2009.06,만장굴관광지,38056
2009.06,목석원,4805
2009.06,민속자연사박물관,80412
2009.06,비자림,11453
2009.06,산굼부리,46681
2009.06,삼성혈,6007
2009.06,삼양선사유적지,7932
2009.06,생각하는 정원,12319
2009.06,절물자연휴양림,45633
2009.06,제주도립 김창열미술관,0
2009.06,제주돌문화공원,17024
2009.06,제주러브랜드,33977
2009.06,제주목관아지,11473
2009.06,제주별빛누리공원,0
2009.06,제주항일기념관,8198
