,상호,주소,위도,경도
100,동산주유소 ,제주특별자치도 제주시 연북로 130 ,33.481,126.495
101,씨제이대한통운(주)동서주유소,제주특별자치도 제주시 연삼로 892 ,33.511,126.581
102,동아주유소 ,제주특별자치도 제주시 동광로 178 ,33.510,126.544
103,동일주유소 ,제주특별자치도 제주시 동광로 103  ,33.506,126.538
104,동화주유소 ,제주특별자치도 제주시 일주동로 232  ,33.519,126.570
105,명지주유소 ,제주특별자치도 제주시 일주동로 247 ,33.520,126.571
106,명품주유소 ,제주특별자치도 제주시 월광로 101 ,33.489,126.470
107,밝은주유소 ,제주특별자치도 제주시 오남로 108 ,33.486,126.516
108,백록담주유소 ,제주특별자치도 제주시 임항로 291 ,33.514,126.538
109,백록주유소 ,제주특별자치도 제주시 연삼로 433 ,33.497,126.536
110,번영로주유소 ,제주특별자치도 제주시 번영로 578 ,33.486,126.601
111,별표주유소 ,제주특별자치도 제주시 연삼로 79 ,33.493,126.501
112,별표주유소 도두점 ,제주특별자치도 제주시 일주서로 7697 ,33.494,126.468
113,봉개주유소 ,제주특별자치도 제주시 번영로 515  ,33.489,126.596
114,봉아름주유소 ,제주특별자치도 제주시 번영로 452 ,33.492,126.590
115,빛나는주유소 ,제주특별자치도 제주시 노형로 26 ,33.461,126.450
116,삼광주유소 ,제주특별자치도 제주시 번영로 158 ,33.504,126.562
117,삼남주유소 ,제주특별자치도 제주시 남성로 60 ,33.505,126.514
118,삼다주유소 ,제주특별자치도 제주시 일주서로 7873 ,33.493,126.488
119,삼성주유소 ,제주특별자치도 제주시 우정로 43 ,33.489,126.431
120,삼양주유소 ,제주특별자치도 제주시 일주동로 398 ,33.521,126.587
121,삼일주유소 ,제주특별자치도 제주시 연삼로 1051 ,33.519,126.595
122,삼진주유소 ,제주특별자치도 제주시 용문로 54 ,33.504,126.501
123,삼화석유㈜ 삼화주유소 ,제주특별자치도 제주시 서광로 210 ,33.499,126.519
124,삼화석유㈜ 승민주유소 ,제주특별자치도 제주시 노연로 56  ,33.485,126.486
125,삼화석유㈜ 유공주유소 ,제주특별자치도 제주시 노형로 364 ,33.482,126.475
126,이도그린주유소 ,제주특별자치도 제주시 연삼로 430 ,33.496,126.536
127,삼화석유㈜ 천마주유소 ,제주특별자치도 제주시 임항로 94 ,33.517,126.534
128,하모니주유소 ,제주특별자치도 제주시 일주동로 118 ,33.515,126.559
129,삼화석유㈜ 행복날개주유소 ,제주특별자치도 제주시 용문로 12 ,33.505,126.497
130,새희망주유소 ,제주특별자치도 제주시 구좌읍 김녕로 138 ,33.555,126.752
131,서경주유소 ,제주특별자치도 제주시 월광로 125 ,33.490,126.471
132,서광로주유소 ,제주특별자치도 제주시 서광로 125 ,33.500,126.509
133,서부관광주유소 ,제주특별자치도 제주시 노형로 148 ,33.468,126.459
134,성신주유소 ,제주특별자치도 제주시 연삼로 159 ,33.493,126.509
135,성안주유소 ,제주특별자치도 제주시 연삼로 50 ,33.493,126.497
136,고내주유소 ,제주특별자치도 제주시 애월읍 고내로 73 ,33.465,126.344
137,성화주유소 ,제주특별자치도 제주시 용해로 70 ,33.511,126.503
138,수원주유소 ,제주특별자치도 제주시 한림읍 한림로 796 ,33.424,126.268
139,스마트주유소 ,제주특별자치도 제주시 연북로 732  ,33.496,126.554
140,신도시주유소 ,제주특별자치도 제주시 과원로 88 ,33.477,126.492
141,신촌주유소 ,제주특별자치도 제주시 조천읍 신북로 74 ,33.534,126.621
142,씨티주유소 ,제주특별자치도 제주시 한라대학로 88 ,33.476,126.479
143,애월농협협동조합주유소 ,제주특별자치도 제주시 애월읍 일주서로 6252 ,33.460,126.321
144,애월주유소 ,제주특별자치도 제주시 애월읍 일주서로 6325 ,33.463,126.329
145,애조로주유소 ,제주특별자치도 제주시 애월읍 일주서로 6806 ,33.474,126.378
146,연동주유소 ,제주특별자치도 제주시 연북로 154 ,33.481,126.497
147,연북로주유소 ,제주특별자치도 제주시 연북로 524 ,33.484,126.536
148,열린주유소 ,제주특별자치도 제주시 한북로 221 ,33.460,126.538
149,오라주유소 ,제주특별자치도 제주시 연삼로 194 ,33.492,126.513
150,온누리주유소 ,제주특별자치도 제주시 중앙로 409 ,33.486,126.542
151,용담주유소 ,제주특별자치도 제주시 용담로 136 ,33.509,126.515
152,용호주유소 ,제주특별자치도 제주시 연삼로 806 ,33.511,126.572
153,우리주유소 ,제주특별자치도 제주시 서광로 67 ,33.499,126.503
154,원남주유소 ,제주특별자치도 제주시 연북로 463 ,33.482,126.530
155,월산주유소 ,제주특별자치도 제주시 노형로 201 ,33.472,126.462
156,유성주유소 ,제주특별자치도 제주시 조천읍 일주동로 1152 ,33.536,126.663
157,유수암주유소 ,제주특별자치도 제주시 애월읍 유수암평화 10길 2 ,33.427,126.410
158,이좋은주유소 ,제주특별자치도 제주시 노형로 218 ,33.473,126.464
159,인양주유소 ,제주특별자치도 제주시 추자면 영흥4길 1 ,33.957,126.300
160,일광주유소 ,제주특별자치도 제주시 일주동로 53  ,33.513,126.553
161,일도주유소 ,제주특별자치도 제주시 고마로 137 ,33.502,126.543
162,해송주유소 ,제주특별자치도 제주시 조천읍 일주동로 854 ,33.531,126.632
163,장안주유소 ,제주특별자치도 제주시 연삼로 718 ,33.510,126.563
164,정석주유소 ,제주특별자치도 제주시 한림읍 한수풀로 121 ,33.421,126.274
165,제주시농협 남부주유소 ,제주특별자치도 제주시 중앙로 301 ,33.494,126.534
166,제주시농협 동부주유소 ,제주특별자치도 제주시 번영로 417 ,33.494,126.587
167,제주시농협 서부주유소 ,제주특별자치도 제주시 일주서로 7422 ,33.493,126.439
168,제주주유소 ,제주특별자치도 제주시 노형로 290 ,33.478,126.469
169,조천농협유통센터주유소 ,제주특별자치도 제주시 조천읍 일주동로 757 ,33.531,126.621
170,중앙주유소 ,제주특별자치도 제주시 구좌읍 구좌로 74 ,33.521,126.858
171,진성주유소 ,제주특별자치도 제주시 한경면 일주서로 4672 ,33.372,126.211
172,태진주유소 ,제주특별자치도 제주시 일주서로 7728 ,33.493,126.472
173,터미널주유소 ,제주특별자치도 제주시 서광로4길 5 ,33.499,126.514
174,편리한주유소 ,제주특별자치도 제주시 중앙로 487 ,33.479,126.544
175,평대주유소 ,제주특별자치도 제주시 구좌읍 일주동로 2948 ,33.530,126.837
176,평화로주유소 ,제주특별자치도 제주시 노형로 177 ,33.471,126.461
177,프라임주유소 ,제주특별자치도 제주시 조천읍 일주동로 1115 ,33.537,126.659
178,하귀농협주유소 ,제주특별자치도 제주시 애월읍 일주서로 7136 ,33.484,126.411
179,하나로주유소, 제주특별자치도 제주시 조천읍 신북로 278 ,33.539,126.641
180,한경주유소 ,제주특별자치도 제주시 한경면 신한로 15 ,33.349,126.184
181,한동주유소 ,제주특별자치도 제주시 구좌읍 일주동로 2763 ,33.540,126.821
182,한라산주유소 ,제주특별자치도 제주시 연북로 508 ,33.483,126.535
183,한림농협주유소 ,제주특별자치도 제주시 한림읍 한림상로 89 ,33.408,126.262
184,한림주유소 ,제주특별자치도 제주시 한림읍 한림로 699 ,33.417,126.264
185,함덕 우리주유소 ,제주특별자치도 제주시 조천읍 신북로 448 ,33.543,126.658
186,함덕농협하나로주유소 ,제주특별자치도 제주시 조천읍 함와로 40 ,33.536,126.674
187,함덕주유소 ,제주특별자치도 제주시 조천읍 신북로 603 ,33.540,126.673
188,합동청사주유소 ,제주특별자치도 제주시 연삼로 314 ,33.491,126.526
189,행복주유소 ,제주특별자치도 제주시 조천읍 일주동로 1602 ,33.552,126.704
190,행운주유소 ,제주특별자치도 제주시 도리로 90 ,33.500,126.461
191,오름주유소 ,제주특별자치도 제주시 연북로 209 ,33.481,126.503
192,현대주유소 ,제주특별자치도 제주시 용문로 131 ,33.506,126.508
193,청년주유소 ,제주특별자치도 제주시 구좌읍 조천우회로984,33.547,126.706
194,삼화석유㈜만남의광장주유소 ,제주특별자치도 제주시 노형로 121 ,33.466,126.456
